test_id,beta,j,r,tau_c,n_tau,phi_over_pi,phi,k2_real,k2_imag,k4_real,k4_imag,p0_analytic,p1_analytic,p2_analytic,p0_mc,p1_mc,p2_mc,p0_mc_std,p1_mc_std,p2_mc_std,trace_distance,trace_distance_std,max_abs_error,max_abs_error_std,imag_leakage,imag_leakage_std,phase_replicas,mc_M_per_rep,mc_M_total
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.9,-2.827433388230814,-0.4279754323328191,0.13905764746872637,-0.4279754323328191,-0.13905764746872637,0.02175741963769455,0.6047021602618525,0.37354042010045296,0.021615411428744746,0.6073116049561011,0.3710729836151542,0.0002467274837223817,0.004870252416596918,0.004727979882551877,0.00417518550212659,0.0034620638315829315,0.004175185502126583,0.0034620638315829163,0.014093444987044942,0.008413720603217155,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.875,-2.748893571891069,-0.415745789630079,0.17220754456429047,-0.415745789630079,-0.17220754456429047,0.022221489405260437,0.6305354615921321,0.34724304900260744,0.022173348170630984,0.6291144826662092,0.34871216916315984,0.00018715784260904306,0.003313217303283537,0.003244039847432784,0.002836156933755251,0.002134020487877495,0.002836156933755246,0.0021340204878775026,0.010708720712793376,0.004001473312444866,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.85,-2.670353755551324,-0.4009529358847655,0.2042957248827961,-0.4009529358847655,-0.2042957248827961,0.022813018329474542,0.654610718004071,0.3225762636664546,0.022837734892173396,0.6543640588436592,0.3227982062641673,0.0002562236305406096,0.0038652151500316273,0.0036974445821644814,0.0031048561858194835,0.002119069104748055,0.0031048561858194766,0.0021190691047481,0.015618498646933609,0.008382870356495997,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.825,-2.5918139392115793,-0.3836880739593415,0.23512435412217703,-0.3836880739593415,-0.23512435412217703,0.023546707136178843,0.6767470271385592,0.29970626572526204,0.023544663270250375,0.674239755200088,0.30221558152966155,0.000413086372341599,0.0046612506372998444,0.004277461736812874,0.0041111729918043155,0.0031739776889690477,0.004111172991804307,0.00317397768896908,0.013263285538709688,0.005776405813783355,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.8,-2.5132741228718345,-0.3640576474687263,0.26450336353161297,-0.3640576474687263,-0.26450336353161297,0.02444012331783644,0.6968236646399665,0.2787362120421972,0.024454286286225185,0.6972978289682308,0.278247884745544,0.00041987767706061323,0.004860094000850003,0.00451417824416422,0.0039832743391514745,0.0025079108854518884,0.003983274339151477,0.002507910885451892,0.011276559584784487,0.005779178756677002,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.775,-2.4347343065320897,-0.34218268452001394,0.2922516217485827,-0.34218268452001394,-0.2922516217485827,0.025513884938014767,0.7147733663940684,0.2597127486679168,0.025464826987918576,0.7152612312793797,0.25927394173270174,0.0004622381707885894,0.0059189571668414875,0.005462941218681941,0.005078995923242229,0.0025760566562572237,0.005078995923242224,0.002576056656257222,0.013852163645190615,0.00720476184234388,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.75,-2.356194490192345,-0.31819805153394637,0.3181980515339464,-0.31819805153394637,-0.3181980515339464,0.026791904741719046,0.7305729773428663,0.2426351179154147,0.026821734204571374,0.7298183783327289,0.24335988746269974,0.0005300782061851833,0.006291757722384199,0.0057634441749177265,0.004466151509976128,0.00424924883159123,0.004466151509976113,0.00424924883159124,0.01362458934896818,0.0056048092179094055,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.725,-2.2776546738526,-0.2922516217485826,0.34218268452001394,-0.2922516217485826,-0.34218268452001394,0.02830168406972323,0.7442328609024909,0.2274654550277858,0.02836086856815988,0.7437494854674622,0.2278896459643779,0.0004980972551381794,0.004489828019877639,0.003997602089619797,0.0031752623778959523,0.003035724465241347,0.003175262377895949,0.003035724465241322,0.01490346217103066,0.008507289213232835,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.7,-2.199114857512855,-0.26450336353161286,0.3640576474687264,-0.26450336353161286,-0.3640576474687264,0.030074635904525426,0.7557862426882178,0.21413912140725666,0.03022772236256609,0.7545956619545329,0.21517661568290097,0.0003831668801692565,0.0031907023714550053,0.0028108305522820316,0.0027303763804384885,0.0018647398898618476,0.002730376380438457,0.001864739889861838,0.008755125843345693,0.008934136970875087,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.675,-2.1205750411731104,-0.23512435412217697,0.3836880739593415,-0.23512435412217697,-0.3836880739593415,0.03214640520454343,0.7652793510343752,0.2025742437610814,0.0323154226485457,0.7640335066027618,0.2036510707486924,0.0003220209284047783,0.002385389757790007,0.002063896667454645,0.002068789229945192,0.0016307211697229275,0.0020687892299451754,0.0016307211697229225,0.00995967314569135,0.006731333688475852,10,18000,180000
